"wordFeatures","Prop","Index","Model","N","Mean","SD","SE"
"valence",20,"KL divergence (log)","Llama-3.1-70B",5,0.924383105693335,1.59403292895658,0.712873197504
"valence",30,"Correlation coefficient","Gpt-4o",5,0.769448307547625,0.0323197522961884,0.0144538326300464
"valence",30,"Correlation coefficient","Llama-3.1-70B",5,0.73459352338513,0.042965713251506,0.0192148511064262
"valence",30,"KL divergence (log)","Gpt-4o",5,1.43867044481889,0.574721078775425,0.257023080048772
"valence",30,"KL divergence (log)","Llama-3.1-70B",5,1.11769791817483,1.09105794523461,0.487935946587165
"valence",40,"Correlation coefficient","Gpt-4o",5,0.724153119371535,0.0526347155705894,0.0235389603984409
"valence",40,"Correlation coefficient","Llama-3.1-70B",5,0.751960918154445,0.0344312400817593,0.0153981186744858
"valence",40,"KL divergence (log)","Gpt-4o",5,1.68626761389458,1.04228703352345,0.466124931805007
"valence",40,"KL divergence (log)","Llama-3.1-70B",5,0.326619928611393,0.688515171807068,0.30791334554011
"valence",50,"Correlation coefficient","Gpt-4o",5,0.632073012274238,0.300774311889158,0.134510361453976
"valence",50,"Correlation coefficient","Llama-3.1-70B",5,0.762849863811126,0.0207455751895246,0.00927770327122201
"valence",50,"KL divergence (log)","Gpt-4o",5,1.78729160291121,1.00189309821723,0.448060214760318
"valence",50,"KL divergence (log)","Llama-3.1-70B",5,0.790990504938386,0.494606088688202,0.221194567278422
"arousal",10,"Correlation coefficient","Gpt-4o",5,0.442092704807136,0.0844557153313143,0.037769744113838
"arousal",10,"Correlation coefficient","Llama-3.1-70B",5,0.510203585642228,0.025799171249999,0.0115377401356312
"arousal",10,"KL divergence (log)","Gpt-4o",5,2.25376781688718,0.857647126350189,0.383551455045275
"arousal",10,"KL divergence (log)","Llama-3.1-70B",5,0.924501303377621,0.61826080185212,0.276494636152973
"arousal",20,"Correlation coefficient","Gpt-4o",5,0.437814303053128,0.0903857884255137,0.0404217534238725
"arousal",20,"Correlation coefficient","Llama-3.1-70B",5,0.584991854195263,0.0349101789553985,0.0156123066501907
"arousal",20,"KL divergence (log)","Gpt-4o",5,0.732968224050797,0.520935926223793,0.232969628591643
"arousal",20,"KL divergence (log)","Llama-3.1-70B",5,1.06478006506914,0.311999792570949,0.139530549030895
"arousal",30,"Correlation coefficient","Gpt-4o",5,0.440890628757534,0.244697783751688,0.109432175682464
"arousal",30,"Correlation coefficient","Llama-3.1-70B",5,0.554200414338185,0.0369706026668479,0.0165337561464414
"arousal",30,"KL divergence (log)","Gpt-4o",5,0.794747786658922,0.739488512170846,0.330709316358838
"arousal",30,"KL divergence (log)","Llama-3.1-70B",5,1.20158370334294,0.452368956022898,0.202305547315562
"arousal",40,"Correlation coefficient","Gpt-4o",5,0.49262044711764,0.131619517110103,0.0588620374847776
"arousal",40,"Correlation coefficient","Llama-3.1-70B",5,0.577031930213935,0.0220391180613085,0.00985619322984584
"arousal",40,"KL divergence (log)","Gpt-4o",5,0.757624082668981,0.261944245063574,0.117145027655403
"arousal",40,"KL divergence (log)","Llama-3.1-70B",5,1.14519832424661,0.330471507549598,0.147791351101547
"arousal",50,"Correlation coefficient","Gpt-4o",5,0.550228439374217,0.0722351095875626,0.0323045230799873
"arousal",50,"Correlation coefficient","Llama-3.1-70B",5,0.597914290079039,0.0465422829871882,0.020814341717477
"arousal",50,"KL divergence (log)","Gpt-4o",5,2.14543153447868,0.927879116037723,0.414960155672553
"arousal",50,"KL divergence (log)","Llama-3.1-70B",5,1.2977368728514,0.270849197790314,0.121127443582086
"dominance",10,"Correlation coefficient","Gpt-4o",5,0.303608120673312,0.231500367864554,0.10353011187227
"dominance",10,"Correlation coefficient","Llama-3.1-70B",5,0.462716485648666,0.0384357866451637,0.0171890063414529
"dominance",10,"KL divergence (log)","Gpt-4o",5,1.81639068498703,1.02531810267291,0.458536195227547
"dominance",10,"KL divergence (log)","Llama-3.1-70B",5,0.828313317498884,0.548340260060705,0.24522521925913
"dominance",20,"Correlation coefficient","Gpt-4o",5,0.340396270281312,0.23320405984169,0.10429202608699
"dominance",20,"Correlation coefficient","Llama-3.1-70B",5,0.482198993807086,0.0390224905290367,0.0174513882948535
"dominance",20,"KL divergence (log)","Gpt-4o",5,0.756522788925509,0.271463610585574,0.121402217337375
"dominance",20,"KL divergence (log)","Llama-3.1-70B",5,0.655056030068326,0.56978715279037,0.254816561269065
"dominance",30,"Correlation coefficient","Gpt-4o",5,0.481798536517934,0.0580825440578552,0.0259753033638981
"dominance",30,"Correlation coefficient","Llama-3.1-70B",5,0.471712710520556,0.0766866628919819,0.0342953182388164
"dominance",30,"KL divergence (log)","Gpt-4o",5,0.928774725121096,1.32039964871079,0.590500674396834
"dominance",30,"KL divergence (log)","Llama-3.1-70B",5,1.5028292326744,0.165580088124142,0.0740496665531975
"dominance",40,"Correlation coefficient","Gpt-4o",5,0.457114537666818,0.0538935691594564,0.0241019368381261
"dominance",40,"Correlation coefficient","Llama-3.1-70B",5,0.540831166356511,0.0246648126431456,0.011030439544474
"dominance",40,"KL divergence (log)","Gpt-4o",5,1.26196524482263,1.20148203887244,0.537319102532764
"dominance",40,"KL divergence (log)","Llama-3.1-70B",5,0.620138477051848,0.459438717270684,0.205467240662511
"dominance",50,"Correlation coefficient","Gpt-4o",5,0.471564054555844,0.0562900560784697,0.0251736783697467
"dominance",50,"Correlation coefficient","Llama-3.1-70B",5,0.489026511761638,0.0839622297752352,0.0375490506639766
"dominance",50,"KL divergence (log)","Gpt-4o",5,0.437833961341646,0.671961387692758,0.30051026822722
"dominance",50,"KL divergence (log)","Llama-3.1-70B",5,1.17468091716318,0.203528550363723,0.0910207347950546
"Auditory",10,"Correlation coefficient","Gpt-4o",5,0.706757715130996,0.0269023478114447,0.0120310956921466
"Auditory",10,"Correlation coefficient","Llama-3.1-70B",5,0.630690523455934,0.187750155892509,0.0839644222723665
"Auditory",10,"KL divergence (log)","Gpt-4o",5,0.943711571401879,1.05381384426116,0.471279878279666
"Auditory",10,"KL divergence (log)","Llama-3.1-70B",5,2.82504913372185,0.257901364112123,0.115336996328927
"Auditory",20,"Correlation coefficient","Gpt-4o",5,0.739640409418654,0.0127006378989858,0.00567989793994848
"Auditory",20,"Correlation coefficient","Llama-3.1-70B",5,0.650892287154179,0.108906702072694,0.0487045578079724
"Auditory",20,"KL divergence (log)","Gpt-4o",5,0.348431353886154,0.453306491577146,0.202724825961687
"Auditory",20,"KL divergence (log)","Llama-3.1-70B",5,1.80821523812689,0.533852638609555,0.238746157979719
"Auditory",30,"Correlation coefficient","Gpt-4o",5,0.716758373642065,0.0515833339412839,0.0230687682397566
"Auditory",30,"Correlation coefficient","Llama-3.1-70B",5,0.647220312517294,0.129165584832283,0.0577646056077003
"Auditory",30,"KL divergence (log)","Gpt-4o",5,1.27719570009876,0.661017675973396,0.295616091561089
"Auditory",30,"KL divergence (log)","Llama-3.1-70B",5,2.0834362414234,0.958199535601821,0.42851985952288
"Auditory",40,"Correlation coefficient","Gpt-4o",5,0.67349421733734,0.146691512849029,0.0656024388905423
"Auditory",40,"Correlation coefficient","Llama-3.1-70B",5,0.689987089559448,0.0508078713197687,0.0227219708126129
"Auditory",40,"KL divergence (log)","Gpt-4o",5,1.4231943546104,1.13444108751336,0.50733747762973
"Auditory",40,"KL divergence (log)","Llama-3.1-70B",5,2.15627082060084,0.778498113535917,0.348154940444332
"Auditory",50,"Correlation coefficient","Gpt-4o",5,0.711748935562033,0.0480979851823768,0.0215100728897144
"Auditory",50,"Correlation coefficient","Llama-3.1-70B",5,0.735844868793751,0.0398850639338174,0.0178371428485882
"Auditory",50,"KL divergence (log)","Gpt-4o",5,0.751160326469936,0.322188200057106,0.144086943375198
"Auditory",50,"KL divergence (log)","Llama-3.1-70B",5,1.68697424765936,0.739780788818302,0.330840026449228
"Gustatory",10,"Correlation coefficient","Gpt-4o",5,0.553235609902331,0.0163668439369882,0.00731947512404718
"Gustatory",10,"Correlation coefficient","Llama-3.1-70B",5,0.555878238447054,0.0165580900674109,0.00740500299365897
"Gustatory",10,"KL divergence (log)","Gpt-4o",5,2.48574498248909,0.161470422716961,0.0722117683101502
"Gustatory",10,"KL divergence (log)","Llama-3.1-70B",5,2.34647668488061,0.287448843838071,0.12855103097513
"Gustatory",20,"Correlation coefficient","Gpt-4o",5,0.552363572575256,0.0355094728031786,0.0158803190066175
"Gustatory",20,"Correlation coefficient","Llama-3.1-70B",5,0.58018631514198,0.038102958105738,0.0170401608936513
"Gustatory",20,"KL divergence (log)","Gpt-4o",5,2.29172992250549,0.27617745361188,0.123510312025792
"Gustatory",20,"KL divergence (log)","Llama-3.1-70B",5,2.4386507257948,0.164422782068011,0.0735321035507411
"Gustatory",30,"Correlation coefficient","Gpt-4o",5,0.549633267113565,0.0298997255087468,0.0133715637492285
"Gustatory",30,"Correlation coefficient","Llama-3.1-70B",5,0.561538690595615,0.0382694533823736,0.0171146198449493
"Gustatory",30,"KL divergence (log)","Gpt-4o",5,2.24677522018097,0.518452083917555,0.231858820543216
"Gustatory",30,"KL divergence (log)","Llama-3.1-70B",5,2.53143117316842,0.078363854227357,0.0350453810062509
"Gustatory",40,"Correlation coefficient","Gpt-4o",5,0.551861904857259,0.0401549353505145,0.017957833015172
"Gustatory",40,"Correlation coefficient","Llama-3.1-70B",5,0.560650513345165,0.0216204692110401,0.00966896777226537
"Gustatory",40,"KL divergence (log)","Gpt-4o",5,2.27362616450667,0.282351852431458,0.126271587121946
