"wordFeatures","Index","Model","N","Mean","SD","SE"
"Olfactory","Difference (correlation to AoA)","Llama-3.1-70B",1,0.0467875531766722,NA,NA
"Visual","Correlation coefficient (AoA)","Gpt-4o",1,-0.216007238818609,NA,NA
"Visual","Correlation coefficient (AoA)","Llama-3.1-70B",1,-0.212022512459682,NA,NA
"Visual","Difference (correlation to AoA)","Gpt-4o",1,0.0200515513779387,NA,NA
"Visual","Difference (correlation to AoA)","Llama-3.1-70B",1,0.016066825019011,NA,NA
"Foot_leg","Correlation coefficient (AoA)","Gpt-4o",1,-0.0481985855606001,NA,NA
"Foot_leg","Correlation coefficient (AoA)","Llama-3.1-70B",1,0.00355424412618823,NA,NA
"Foot_leg","Difference (correlation to AoA)","Gpt-4o",1,0.0492309403263813,NA,NA
"Foot_leg","Difference (correlation to AoA)","Llama-3.1-70B",1,0.00252188936040703,NA,NA
"Hand_arm","Correlation coefficient (AoA)","Gpt-4o",1,-0.0356567292122285,NA,NA
"Hand_arm","Correlation coefficient (AoA)","Llama-3.1-70B",1,-0.00931337412939532,NA,NA
"Hand_arm","Difference (correlation to AoA)","Gpt-4o",1,0.010273826111836,NA,NA
"Hand_arm","Difference (correlation to AoA)","Llama-3.1-70B",1,0.0160695289709972,NA,NA
"Head","Correlation coefficient (AoA)","Gpt-4o",1,0.0915399261308236,NA,NA
"Head","Correlation coefficient (AoA)","Llama-3.1-70B",1,0.0964283489716134,NA,NA
"Head","Difference (correlation to AoA)","Gpt-4o",1,0.168549002499789,NA,NA
"Head","Difference (correlation to AoA)","Llama-3.1-70B",1,0.173437425340579,NA,NA
"Mouth","Correlation coefficient (AoA)","Gpt-4o",1,-0.0680954962718293,NA,NA
"Mouth","Correlation coefficient (AoA)","Llama-3.1-70B",1,-0.0771729860066414,NA,NA
"Mouth","Difference (correlation to AoA)","Gpt-4o",1,0.0335674171780618,NA,NA
"Mouth","Difference (correlation to AoA)","Llama-3.1-70B",1,0.0426449069128738,NA,NA
"Torso","Correlation coefficient (AoA)","Gpt-4o",1,-0.033743336339617,NA,NA
"Torso","Correlation coefficient (AoA)","Llama-3.1-70B",1,-0.0013794257033831,NA,NA
"Torso","Difference (correlation to AoA)","Gpt-4o",1,0.0285408589709435,NA,NA
"Torso","Difference (correlation to AoA)","Llama-3.1-70B",1,0.0609047696071774,NA,NA
