"category","wordFeatures","Index","Model","N","Mean","SD","SE"
"nouns","Foot_leg","KL divergence (log)","Llama-3.1-70B",1,1.45085079053813,NA,NA
"nouns","Hand_arm","Correlation coefficient","Gpt-4o",1,0.601920857347295,NA,NA
"nouns","Hand_arm","Correlation coefficient","Llama-3.1-70B",1,0.490530621004885,NA,NA
"nouns","Hand_arm","KL divergence (log)","Gpt-4o",1,1.13101155542547,NA,NA
"nouns","Hand_arm","KL divergence (log)","Llama-3.1-70B",1,0.576837845241253,NA,NA
"nouns","Head","Correlation coefficient","Gpt-4o",1,0.419503432304886,NA,NA
"nouns","Head","Correlation coefficient","Llama-3.1-70B",1,0.229262634097192,NA,NA
"nouns","Head","KL divergence (log)","Gpt-4o",1,2.53998956057142,NA,NA
"nouns","Head","KL divergence (log)","Llama-3.1-70B",1,2.92428297902757,NA,NA
"nouns","Mouth","Correlation coefficient","Gpt-4o",1,0.653490172406771,NA,NA
"nouns","Mouth","Correlation coefficient","Llama-3.1-70B",1,0.714828597314492,NA,NA
"nouns","Mouth","KL divergence (log)","Gpt-4o",1,2.4457474592975,NA,NA
"nouns","Mouth","KL divergence (log)","Llama-3.1-70B",1,2.37433776316999,NA,NA
"nouns","Torso","Correlation coefficient","Gpt-4o",1,0.369737762398836,NA,NA
"nouns","Torso","Correlation coefficient","Llama-3.1-70B",1,0.0598327321641082,NA,NA
"nouns","Torso","KL divergence (log)","Gpt-4o",1,3.0730426376588,NA,NA
"nouns","Torso","KL divergence (log)","Llama-3.1-70B",1,2.04057026759795,NA,NA
"other","concreteness","Correlation coefficient","Gpt-4o",1,0.44501547105277,NA,NA
"other","concreteness","Correlation coefficient","Llama-3.1-70B",1,0.537309891066746,NA,NA
"other","concreteness","KL divergence (log)","Gpt-4o",1,1.56354900483949,NA,NA
"other","concreteness","KL divergence (log)","Llama-3.1-70B",1,2.09021383536844,NA,NA
"other","adultBOI","Correlation coefficient","Gpt-4o",1,0.782489231503371,NA,NA
"other","adultBOI","Correlation coefficient","Llama-3.1-70B",1,0.7290217984367,NA,NA
"other","adultBOI","KL divergence (log)","Gpt-4o",1,2.60676973355486,NA,NA
"other","adultBOI","KL divergence (log)","Llama-3.1-70B",1,2.87303820377771,NA,NA
"other","childBOI","Correlation coefficient","Gpt-4o",1,0.698342638270323,NA,NA
"other","childBOI","Correlation coefficient","Llama-3.1-70B",1,0.68625722441857,NA,NA
