"category","wordFeatures","Prop","Index","Model","N","Mean","SD","SE"
"function_words","babiness",40,"KL divergence (log)","Llama-3.1-70B",5,2.87083302439218,0.253305174078137,0.113281517658226
"function_words","babiness",50,"Correlation coefficient","Gpt-4o",5,0.878033587322957,0.0735483472080675,0.0328918207979992
"function_words","babiness",50,"Correlation coefficient","Llama-3.1-70B",5,0.774341649025257,0.259216796227523,0.11592527545489
"function_words","babiness",50,"KL divergence (log)","Gpt-4o",5,3.09561788796466,0.366108026953536,0.163728487075286
"function_words","babiness",50,"KL divergence (log)","Llama-3.1-70B",5,3.05495870998255,0.300553991783469,0.13441183130735
"function_words","valence",10,"Correlation coefficient","Gpt-4o",5,0.2746286136237,0.118917678002113,0.053181602347831
"function_words","valence",10,"Correlation coefficient","Llama-3.1-70B",5,0.514726650166853,0.212309445881903,0.0949476706514496
"function_words","valence",10,"KL divergence (log)","Gpt-4o",5,3.20915616529331,0.213208514051855,0.0953497461603332
"function_words","valence",10,"KL divergence (log)","Llama-3.1-70B",5,3.2635308775959,0.00429872653274577,0.0019224489487803
"function_words","valence",20,"Correlation coefficient","Gpt-4o",5,0.227959771283566,0.406594509623604,0.181834592559314
"function_words","valence",20,"Correlation coefficient","Llama-3.1-70B",5,0.136573267033142,0.379122852772933,0.169548894124785
"function_words","valence",20,"KL divergence (log)","Gpt-4o",5,3.13682914624498,0.44820115573134,0.200441650361849
"function_words","valence",20,"KL divergence (log)","Llama-3.1-70B",5,2.92054362523182,0.36555083160125,0.163479301738394
"function_words","valence",30,"Correlation coefficient","Gpt-4o",5,0.242255991264802,0.57297479277375,0.256242117207192
"function_words","valence",30,"Correlation coefficient","Llama-3.1-70B",5,0.469777410265787,0.198161701527645,0.0886206070305675
"function_words","valence",30,"KL divergence (log)","Gpt-4o",5,3.19932317359556,0.190270634001793,0.0850916143499983
"function_words","valence",30,"KL divergence (log)","Llama-3.1-70B",5,3.06277950726519,0.354559957876413,0.158564033582224
"function_words","valence",40,"Correlation coefficient","Gpt-4o",5,0.0801912145235524,0.452901320519591,0.202543627956245
"function_words","valence",40,"Correlation coefficient","Llama-3.1-70B",5,-0.00466613373447027,0.481767554923971,0.215453000432772
"function_words","valence",40,"KL divergence (log)","Gpt-4o",5,3.28685247495431,0.233906057347325,0.104605968915517
"function_words","valence",40,"KL divergence (log)","Llama-3.1-70B",5,2.86403316926997,0.361864991977236,0.161830944147703
"function_words","valence",50,"Correlation coefficient","Gpt-4o",5,-0.00645710371123831,0.656973781007465,0.29380760675355
"function_words","valence",50,"Correlation coefficient","Llama-3.1-70B",5,0.533803480085011,0.34870486602454,0.155945556903166
"function_words","valence",50,"KL divergence (log)","Gpt-4o",5,3.12423674289978,0.246642681328239,0.110301960320552
"function_words","valence",50,"KL divergence (log)","Llama-3.1-70B",5,3.1062405963612,0.347572863805522,0.155439310120685
"function_words","arousal",10,"Correlation coefficient","Gpt-4o",5,0.450523785145304,0.228888556660288,0.102362074392843
"function_words","arousal",10,"Correlation coefficient","Llama-3.1-70B",5,0.626128213311694,0.0962018381807236,0.0430227699465065
"function_words","arousal",10,"KL divergence (log)","Gpt-4o",5,3.10767526246306,0.356866211964541,0.159595421765112
"function_words","arousal",10,"KL divergence (log)","Llama-3.1-70B",5,2.96212418243641,0.492906085139884,0.220434302579216
